feature_name	TCGA-66-2787	TCGA-66-2755	TCGA-34-2596	TCGA-22-1002	TCGA-63-5131	TCGA-22-1005	TCGA-34-5241	TCGA-22-4607	TCGA-34-5240	TCGA-60-2723	TCGA-66-2734	TCGA-21-1079	TCGA-60-2698	TCGA-37-4133	TCGA-43-3394	TCGA-18-3417	TCGA-37-4130	TCGA-21-1080	TCGA-22-4604	TCGA-46-3765
EIF3K	0.5348	0.5047	0.7775	1.063	3.1195	2.2669	1.7671	0.6379	1.3024	0.6273	0.5085	0.1676	1.8643	0.5416	1.3392	1.1197	0.4174	1.0342	0.7473	0.7856
EIF3M	0.6769	0.1995	0.1646	0.2275	0.3916	0.1719	0.1223	0.2197	0.2207	0.3062	0.3346	0.5294	0.2357	0.2453	0.5019	0.1063	0.0958	0.2583	0.4288	0.4942
EIF4A1	1.0067	1.2071	0.8596	0.2185	0.4664	0.3829	1.1314	0.2649	0.5854	0.8662	0.7421	1.0141	0.5334	0.3737	0.2913	1.1611	0.2777	0.7092	0.5198	0.5303
EIF4A2	1.7887	0.8645	0.9334	1.1728	1.9279	0.285	0.8378	1.7265	3.5054	0.5183	1.4365	0.5423	1.093	1.2876	1.7053	0.5374	0.6692	1.6303	2.8369	1.964
EIF4A3	1.4153	0.4167	0.576	0.4781	0.345	0.2362	0.2878	1.0478	0.8331	0.6703	0.8069	1.031	0.7685	1.0432	0.6539	1.0589	0.3965	0.9118	1.1417	0.6134
EIF4B	0.919	0.3614	0.6042	0.6238	0.2756	0.2954	0.0878	0.2462	0.5915	0.3008	0.325	0.0885	0.3974	0.2277	0.2968	0.3412	0.3283	1.5555	1.7645	0.3377
EIF4E	0.5216	1.2568	0.3796	0.9162	1.4844	0.2602	1.6626	0.8259	1.3167	0.6565	0.9933	0.7854	0.6278	0.7395	0.9789	1.5841	1.6107	0.6502	0.5194	0.7997
EIF4E2	0.7359	0.6244	1.7395	0.8378	0.8901	0.5573	1.7573	1.7806	1.868	1.7737	1.09	1.6079	0.8589	1.3009	1.019	0.7856	1.7887	0.9885	0.4722	0.7714
EIF4E3	1.834	1.0002	1.1741	1.8945	0.1114	1.7671	1.9271	1.4167	1.0887	1.5368	1.8066	0.5975	2.1823	0.4406	2.0956	1.5197	1.6133	2.0553	1.807	1.5146
EIF4EBP1	0.5962	1.107	1.1971	1.4499	2.6114	0.6631	1.5907	1.9306	0.3741	1.5233	2.7358	0.656	0.3369	1.6189	0.519	0.5204	0.7548	1.3136	0.3461	2.8839
EIF4EBP2	0.5315	0.8388	0.703	1.6635	0.2919	0.8641	0.8083	1.2631	0.8128	1.5901	1.2431	1.2501	1.606	0.5508	0.621	1.4971	0.8294	1.0947	1.0594	1.4763
EIF4ENIF1	1.3448	1.5316	1.6991	1.7262	1.2584	0.8362	0.6785	0.6874	1.7196	1.2088	1.3992	0.8395	0.3664	0.8115	1.4936	0.3989	2.2281	0.7751	1.1229	1.2966
EIF4G1	1.2503	0.6545	0.9509	0.9503	2.0761	0.4939	0.1147	0.1225	0.8374	0.3311	0.8854	0.7414	0.5773	0.1436	0.4516	0.3465	0.0905	1.4571	0.8348	1.0049
EIF4G2	1.5342	2.1918	1.3774	1.6497	1.8492	0.9654	0.5305	1.2043	1.4587	0.8044	2.392	2.5813	1.4525	0.4971	1.5133	2.1989	0.3957	1.1391	1.7253	2.1107
EIF4G3	0.3607	0.6698	0.2657	1.1665	0.4257	0.7532	0.2218	0.2389	0.1373	0.5902	0.5041	0.3688	0.2865	0.0998	0.3118	0.295	0.1878	0.5334	0.529	0.7826
EIF4H	1.1529	0.9657	0.6776	1.0785	0.7212	0.1982	0.4562	0.2969	0.5342	0.6756	1.1509	0.397	0.1107	0.2147	0.5344	0.5041	0.1312	0.5642	0.6795	0.7017
EIF5	0.8472	0.4584	0.3095	1.4733	0.31	0.7451	0.3913	0.6566	0.3408	0.5504	0.9748	0.7934	0.8901	1.0544	0.634	0.1854	0.4815	1.0584	0.9649	0.9425
EIF5A	1.5308	1.36	0.5409	0.3552	0.1011	0.7253	0.8612	0.1953	0.5477	1.026	0.5444	1.3294	0.4552	0.2864	0.2941	1.0188	0.3572	1.6447	0.2862	0.6115
EIF5A2	2.8582	0.732	3.3356	0.7296	2.6689	0.9834	2.9032	1.4675	3.4438	3.2043	1.1874	2.5049	3.0735	2.6648	4.1213	4.1247	1.1255	3.122	2.6893	2.7077
EIF5AL1	0.5673	0.8476	0.5777	0.193	0.1269	0.6794	0.5328	0.1471	0.3274	0.612	0.3611	0.8262	0.3786	0.2208	0.1985	1.0351	0.4047	1.7763	0.1462	0.5224
EIF5B	0.8378	0.7235	0.6807	0.8696	0.8836	0.6589	0.1509	0.4326	0.6565	0.5441	0.4254	0.5865	0.3884	0.347	0.8418	0.779	0.638	0.913	0.9038	0.3791
EIF6	0.3032	0.1336	0.3412	0.55	0.1862	1.0141	0.3535	0.7216	0.3755	0.218	0.5058	0.3321	0.336	1.3595	0.3118	0.7601	0.8499	0.5128	0.247	0.4051
ELA1	0.3998	0.5466	0.853	0.5749	1.1717	0.2478	0.9285	0.7403	1.0357	0.5628	0.5665	0.4052	0.7136	0.4194	0.569	0.9444	0.866	0.3214	0.8335	0.777
ELA2	0.0591	0.0233	0.0302	0.0687	0.0458	0.6234	0.1721	0.0686	0.037	0.1149	0.0301	0.0582	0.0257	0.213	0.0343	0.1705	0.0494	0.055	0.058	0.0709
ELA2A	0.207	0.4134	0.4839	0.4497	0.5557	0.4406	1.1293	0.9558	0.8921	0.7811	0.2699	0.3157	0.2593	1.2143	0.162	1.1893	1.9298	0.5296	0.9369	0.3265
ELA2B	0.1168	0.3528	0.2458	0.5713	0.3494	0.5012	0.6021	0.4527	0.2401	0.5984	0.3898	0.2959	0.4811	1.0913	0.2404	0.251	1.3897	0.6105	0.1756	0.1792
ELA3A	0.0201	0.0244	0.0259	0.0208	0.1705	0.0255	0.2732	0.7373	0.4339	0.0566	0.0378	0.0359	0.0229	0.2931	0.0181	0.3657	0.0986	0.046	0.148	0.0332
ELAC1	2.0183	1.9482	2.5349	2.2044	0.616	0.6133	1.9953	2.209	2.6472	1.3092	0.7076	0.3242	0.9859	1.7704	1.7961	1.1077	0.4243	0.5139	1.9648	0.9862
ELAC2	0.1004	0.2163	0.3351	0.1105	0.143	0.1801	0.1923	0.0394	0.0912	0.0905	0.0778	0.1285	0.0428	0.118	0.0969	0.1805	0.1048	0.1586	0.0775	0.0863
ELAVL1	0.9849	0.9072	0.6366	0.5687	0.3218	0.2349	0.0938	0.845	0.505	0.1671	0.2975	0.1672	0.2836	0.0719	0.2461	0.1415	0.0723	0.3175	0.5581	0.2506
ELAVL2	0.612	1.322	1.2267	0.3005	1.4472	0.5907	1.4102	1.8302	0.5425	1.1119	0.9474	1.7386	0.5347	1.9183	0.7953	0.5204	0.901	0.5128	1.1108	0.4191
ELAVL3	0.4929	0.4482	0.6696	0.6179	0.9021	0.6729	0.9389	1.0282	1.1982	0.8094	0.4661	0.5789	0.4921	0.8334	0.4901	1.0734	1.149	0.6965	0.6744	0.1862
ELAVL4	1.622	2.2822	1.6973	2.871	0.51	0.978	1.5924	1.2276	2.1047	1.0031	1.7402	0.8489	1.3315	1.7727	1.5316	1.8029	1.2983	1.0399	2.8179	0.6201
ELF1	1.2303	1.5681	1.229	0.5871	1.4929	1.1271	0.3394	1.1463	1.0283	1.4583	1.0246	1.9689	1.8593	0.7734	1.8246	0.3826	1.4139	0.9688	1.1743	0.7249
ELF2	0.6036	1.0648	0.6386	0.7152	0.4294	1.0509	0.0196	0.7054	0.2542	0.586	0.3101	0.992	0.561	0.5582	0.5602	0.007	1.4549	0.7298	0.7769	0.3617
ELF3	2.4417	0.2815	1.6135	1.9489	3.4059	1.7823	3.3924	3.6784	3.0078	2.1843	3.0882	0.0958	3.1207	4.1782	1.9035	2.4566	1.8661	3.2656	0.4449	1.7579
ELF4	1.6692	1.1266	1.6887	1.1051	1.5014	1.1035	1.389	1.6722	1.8575	0.8507	1.1887	2.041	1.8435	1.309	1.1642	2.5111	0.6866	1.1616	1.2635	0.7419
ELF5	1.7281	0.7939	1.257	2.0268	3.9646	1.7479	1.8575	3.4562	2.7965	0.865	2.5449	0.832	2.2292	3.214	3.3309	1.1529	0.6818	0.8768	2.6323	2.3255
ELK1	0.7164	0.4026	0.5349	0.0845	0.9231	0.1625	0.476	0.2389	0.6074	0.9624	1.3212	1.2038	0.2553	0.1892	0.9506	0.4457	0.2454	0.9145	0.2081	0.6151
ELK3	0.3991	2.3209	0.8252	1.6994	1.2625	1.7047	1.3074	2.5947	0.6771	1.4038	2.1337	2.7026	2.4308	1.0604	1.1961	0.9449	0.3034	0.9901	1.0862	0.9817
ELK4	1.4253	0.6087	0.5033	1.0172	1.6456	0.4665	0.4041	0.8751	0.111	1.5678	0.71	1.0064	0.7299	1.0669	0.7077	0.2142	0.0529	1.2816	0.6792	1.5584
ELL	0.7136	1.2448	0.6821	0.6759	0.8046	1.5592	0.6736	0.3707	0.6458	0.988	1.2497	0.9352	0.7092	0.7636	0.3289	0.4735	0.6914	0.7992	0.9043	1.1801
ELL2	0.3613	0.2775	0.6752	0.9155	0.2924	1.547	0.61	0.2498	0.8025	0.6197	1.1858	0.9532	0.7684	0.4657	0.2923	0.3813	1.1674	0.4996	0.2283	0.5621
ELL3	0.9593	0.9377	2.0049	0.2328	1.0625	0.7991	0.8161	2.6076	2.9022	0.1941	1.3283	0.0754	1.2511	2.668	2.1813	0.6365	1.6973	1.4687	0.6438	1.8496
ELMO1	1.5776	1.6186	1.3604	2.1808	0.5571	1.7118	0.5594	0.8226	0.9312	0.4136	0.935	0.6448	1.0675	0.4914	0.7479	0.2251	1.3734	0.4725	1.5012	0.4723
ELMO2	0.9	0.325	0.1911	0.2831	0.5553	0.1966	0.5016	0.3165	0.4248	0.2833	0.5385	0.5631	0.1797	0.1245	0.1381	0.4745	0.2203	0.3917	0.3288	0.339
ELMO3	1.9509	1.0863	1.9356	2.7738	2.8151	2.0336	1.8986	2.516	1.8622	2.1734	1.8911	2.1413	2.5104	3.1933	1.6364	2.8601	2.1276	3.3564	1.5497	2.3635
ELMOD1	0.0512	0.0558	0.3447	0.1139	0.0424	0.0855	0.2142	0.0602	0.5274	0.0433	0.1062	0.313	0.0571	0.067	0.0581	0.0271	0.0928	0.0358	0.1446	0.016
ELMOD2	1.0974	1.5241	1.0833	0.7752	1.5486	1.0263	1.8753	1.3846	1.4624	1.8778	1.6295	2.0453	2.0829	1.0335	1.9024	1.9741	1.7498	1.2511	0.7009	1.3292
ELN	1.9438	0.5031	2.3452	3.5017	2.2178	2.835	1.7405	1.5457	2.1833	0.8921	1.3834	0.6131	1.718	1.1504	2.2626	2.2044	1.1511	1.8393	2.0015	1.8379
ELOF1	0.7784	0.5156	0.9448	0.3138	0.5072	0.4621	0.3519	1.9352	1.4448	0.6087	1.0188	1.0638	0.4596	0.3901	0.4047	0.0781	0.0989	1.1508	0.3742	0.6895
ELOVL1	0.1328	0.1607	0.1183	0.1838	0.8666	0.1757	0.61	0.3453	1.019	0.2432	0.6994	1.4989	0.199	0.2169	0.3008	0.6797	0.0918	1.2887	0.1212	0.4187
ELOVL2	0.0472	0.0452	0.0793	0.0246	0.0409	0.0157	0.1288	0.0812	0.2338	0.0931	0.0354	0.0335	0.0898	0.1475	0.0355	0.2807	0.1486	0.0335	0.0482	0.0173
ELOVL3	2.1168	0.6977	0.2465	0.5	1.254	0.3104	0.7565	1.2981	0.9465	0.6266	1.3539	1.1128	0.8007	0.8914	0.2657	1.1447	0.4403	2.8132	0.7894	1.3563
ELOVL4	1.394	0.0545	1.4682	0.1434	1.2753	0.024	0.5351	0.2918	0.5304	2.9514	0.0429	0.2988	0.7515	0.1291	2.4352	0.2316	0.5695	3.196	0.7458	0.1086
ELOVL5	0.8605	1.4571	0.269	0.4448	0.66	0.2808	0.5356	1.171	0.5816	0.6872	0.9081	0.2369	0.5984	1.2489	0.8747	0.6513	0.305	0.3489	0.9951	0.9766
ELOVL6	1.2578	0.0781	1.1084	0.0694	0.4977	0.0275	0.4246	0.7105	1.1547	1.0026	0.0713	0.1228	0.3228	0.213	0.9193	0.4833	0.0291	0.0661	0.135	1.0809
ELOVL7	0.4564	0.834	0.8538	0.1827	1.124	0.3864	0.1365	0.8564	1.3147	0.2169	0.0659	0.2365	0.6354	0.1332	0.3433	0.6119	0.4065	1.4444	0.9759	0.3273
ELP2	0.2406	0.4897	0.2611	0.1655	0.2005	0.069	0.2923	0.3706	0.4152	0.4097	0.1252	0.114	0.1328	0.2474	0.5634	0.1674	0.7874	0.1474	1.0216	0.444
ELP3	0.1388	0.167	0.1715	0.237	0.4466	0.2365	0.2512	0.4062	0.4515	0.3152	0.2007	0.6183	0.2526	0.342	0.0748	0.3753	0.5001	0.1156	0.2227	0.12
ELP4	0.674	0.6214	0.3726	0.9021	0.8915	0.254	0.3793	0.4207	0.81	0.8912	1.1082	1.2981	0.6484	1.0465	0.3647	0.4378	0.4117	0.455	0.5278	0.8863
ELSPBP1	1.2721	0.2295	0.5196	0.3825	0.9867	0.3593	2.0175	1.2361	1.7677	0.6826	1.3377	0.4834	0.8197	1.6175	0.67	1.1976	1.1367	0.3596	1.061	0.5854
ELTD1	4.9674	4.8824	3.5148	4.1387	3.3677	4.0543	3.9825	4.5727	3.7356	3.8475	4.9279	4.5673	4.376	2.3061	4.2622	3.4281	1.7724	3.5651	3.6478	4.6637
EMB	0.8865	0.6255	0.6548	0.5783	0.0262	1.6677	0.6211	2.1332	0.0305	0.5135	0.2584	0.5738	1.4578	0.2963	0.3528	0.5592	2.1356	1.8225	0.5329	0.393
EMCN	3.5994	3.5243	3.6077	5.1726	4.1458	4.2425	4.4944	4.2622	3.6896	3.8139	4.3281	3.6608	4.7704	2.5015	4.1529	3.6565	3.1018	3.5791	3.1837	3.7764
EMD	0.2263	0.1297	0.3294	0.0602	0.4623	0.1865	0.3269	0.2252	1.0588	0.3369	0.3762	0.1253	0.1891	0.3545	0.7155	0.3568	0.1644	0.2388	0.1191	0.495
EMG1	0.9249	0.7715	0.3401	0.2381	1.2783	0.3834	2.305	1.0794	1.6497	1.2265	1.1834	0.5985	1.4008	1.2617	2.5492	3.0472	2.0965	0.4864	0.3085	1.4971
EMID1	1.1799	2.2307	2.2637	1.4151	1.3828	1.5784	1.4807	0.8896	2.1447	2.121	0.7497	1.2868	1.8118	2.7332	1.5345	2.291	3.0675	0.9614	1.4347	1.4792
EMID2	0.4924	0.3979	0.5448	0.5417	0.4665	0.471	1.0236	0.4359	0.4732	0.4224	0.2063	0.5499	0.4134	0.7687	0.5375	0.9043	1.3911	0.8724	0.5629	0.6011
EMILIN1	1.2693	1.4648	1.0264	1.7803	0.5588	2.1933	1.3159	0.9828	1.0955	1.6797	1.6848	1.8625	1.1532	1.2909	0.9522	2.7693	1.5819	0.9798	1.7367	1.2478
EMILIN2	2.6417	3.0123	3.4127	2.6261	3.025	2.6959	2.8769	2.5378	3.9072	3.1676	2.8076	2.0509	3.411	1.9741	2.4771	2.432	3.8164	2.9094	3.6986	2.7229
EMILIN3	0.7065	0.2192	1.141	0.3995	1.0107	0.508	1.3741	1.1159	1.4964	0.8094	1.0194	0.951	0.4884	0.9236	1.0653	1.4607	1.1087	0.8009	0.8245	0.8745
EML1	0.9605	0.072	0.466	0.1801	0.017	0.117	0.4508	0.1535	0.1537	0.3327	0.0332	2.0166	0.7645	0.0303	0.1802	0.413	0.1307	0.1817	0.5458	0.2197
EML2	0.5968	0.1869	0.9642	0.1473	0.9395	0.4799	0.2519	0.2253	2.3335	0.1316	0.7306	0.2218	1.1254	0.1226	0.4767	0.1441	0.0346	2.3689	0.299	0.7742
EML3	0.1274	0.1519	0.0697	0.2515	0.1297	0.4408	0.0846	0.0472	0.0651	0.0679	0.4161	0.4203	0.1358	0.104	0.1719	0.0875	0.0154	0.3843	0.0542	0.1067
EML4	0.5357	0.5313	0.6306	0.8984	0.4208	1.5169	0.1228	0.2518	0.083	0.5076	1.1497	0.4715	0.4983	1.345	0.724	0.3548	1.345	0.4942	1.3392	0.3503
EML5	0.3314	0.1087	0.5494	0.3563	0.0511	0.1255	0.2696	0.1044	0.1184	0.4199	0.2181	1.5428	0.3068	0.3177	0.1797	0.1406	0.7434	0.5438	0.4038	0.1205
EMP1	2.5118	0.9248	2.2313	2.982	1.3279	1.1159	3.5892	4.2155	2.0597	2.9731	3.2182	1.9298	2.9104	1.5272	3.7356	2.9482	0.2174	3.0273	3.4943	2.3659
EMP2	0.1306	1.6606	0.2017	2.7454	0.1737	0.4137	0.7535	0.6315	0.3698	0.2131	0.1425	0.1165	1.5558	0.6492	0.2769	0.4949	0.0032	0.4193	1.1661	0.1366
EMP3	0.0655	0.3117	0.06	0.1194	0.0232	0.9408	0.0935	0.04	0.0529	0.1146	0.202	0.2261	0.2003	0.0278	0.0422	0.1423	0.0275	0.0487	0.1089	0.1683
EMR1	0.0641	1.0338	0.1368	0.3379	0.734	0.5273	0.5436	0.0682	0.2292	0.0706	0.0615	1.8393	1.8904	0.1793	0.014	0.261	1.3195	0.0277	0.1591	0.04
EMR3	2.0597	3.238	1.5635	3.0833	2.5188	1.7589	1.785	3.6286	2.1758	1.5819	4.3154	1.567	2.3576	1.1874	2.0566	2.7729	1.2649	2.432	2.1908	3.207
EMR4	1.4525	0.6689	0.7209	1.1346	1.2919	1.0562	0.6108	1.1582	0.7899	1.3132	0.4316	1.0766	1.0305	1.3986	0.8992	1.2576	1.106	1.1104	1.0239	0.5515
EMX1	0.7969	1.7081	1.8389	0.8714	1.2013	1.4719	1.775	1.5937	1.9717	1.7065	1.1606	2.7161	1.3264	1.7743	1.9785	3.1284	2.4212	2.5702	2.1883	1.2278
EMX2	1.3846	4.0225	4.455	2.1299	0.822	0.5922	0.7474	0.8379	0.1178	1.5513	0.6207	6.6096	0.9714	1.1421	1.232	0.1093	0.9838	1.705	3.1006	0.9723
EMX2OS	1.6562	3.2715	3.214	1.6863	1.381	0.8803	2.1375	0.8812	0.9256	1.1516	0.363	5.4182	1.4049	1.4663	1.3065	0.9802	1.2987	1.3609	3.2924	0.4338
EN1	1.7084	0.0542	2.87	1.8337	0.1442	0.128	0.3755	0.9132	2.9344	0.1892	1.6421	2.054	3.3076	0.1592	0.9555	1.1832	0.3506	3.1663	2.4879	2.4974
EN2	2.091	1.8507	2.6061	0.7277	1.787	3.3483	1.5042	2.2513	2.2669	2.6819	1.9118	4.1041	2.0712	3.837	2.6844	1.7773	3.837	4.1109	2.2203	2.5181
ENAH	0.5354	1.641	0.5502	0.2433	0.2039	0.208	0.2162	0.216	0.0733	0.6736	0.8878	0.5424	0.2006	0.2657	0.2945	0.8213	0.0597	0.5174	0.2512	0.189
ENAM	1.5311	1.2008	1.3341	0.5354	1.6731	0.6149	1.149	1.5187	0.8555	1.1432	1.3911	0.8795	0.6754	0.8052	1.2599	0.9906	0.8696	0.6539	1.981	0.9765
ENC1	0.0858	1.6982	0.1729	0.408	0.0698	2.0276	0.2921	0.5198	0.2601	0.1745	0.949	0.6307	0.5225	0.314	0.3122	2.6616	0.9936	0.1766	2.1848	0.183
ENDOD1	0.5074	0.2036	0.8284	1.736	1.7115	1.0224	2.7974	1.8727	1.1568	1.0488	2.496	3.4759	1.2384	0.9772	1.9513	2.4385	0.2271	1.8647	2.2642	1.033
ENDOG	0.5633	0.1838	0.6995	0.1318	0.2325	0.1626	0.2302	0.2671	0.4809	0.111	0.145	0.1363	0.2919	1.1714	0.3468	0.2257	0.206	0.4805	0.1663	0.7046
ENDOGL1	0.4512	0.1649	0.1662	0.1666	0.1668	0.0895	0.4341	0.2755	0.1751	0.1517	0.2478	0.1619	0.4253	0.2257	0.1844	0.5617	0.2248	0.1249	0.804	0.1669
ENG	0.1703	0.2521	0.1383	0.3039	0.3325	1.0944	0.5406	0.2233	0.3856	0.1727	0.2791	0.7218	0.1618	0.2926	0.0675	0.5581	0.386	0.1921	0.1895	0.1673
ENO1	0.2649	0.4356	0.0948	0.2108	0.4242	0.1381	0.1546	0.1725	0.2119	1.657	0.7125	0.6976	0.0977	0.0986	0.1397	0.5769	0.0246	0.2553	0.1221	0.3005
ENO2	0.1082	0.0295	0.046	0.0298	0.553	0.0754	0.2568	0.0445	0.1468	0.0867	0.1967	0.2832	0.0192	0.0448	0.2008	0.7862	0.0086	0.1007	0.0678	0.153
ENO3	0.0353	0.0524	0.0213	0.0216	0.0317	0.0411	0.076	0.0278	0.0334	0.0197	0.0245	0.0482	0.0154	0.0646	0.0617	0.0512	0.0727	0.0235	0.0214	0.0316
ENOPH1	0.5287	1.7482	0.4326	0.3916	1.4332	0.3053	0.9123	0.8407	1.0183	1.0135	0.5731	0.4995	0.7812	0.8016	1.0514	1.2769	1.1102	0.1654	1.5713	0.8329
ENOSF1	0.6901	0.2729	0.2669	0.3238	0.3195	0.1857	0.2726	0.558	0.773	0.1423	0.3633	0.4964	1.1516	0.3407	0.2294	0.1347	0.3668	0.1079	0.1768	0.1807
ENOX1	0.2519	1.0109	0.4102	0.0726	0.0303	0.6971	0.2522	0.0482	0.1684	0.2593	0.2458	0.2424	0.2859	0.294	0.0571	1.3808	0.0335	0.0795	0.7697	0.0905
ENOX2	2.6868	2.2476	1.8404	1.3754	1.1598	1.0135	0.4715	0.7994	0.9477	1.755	1.5852	1.3517	1.7615	1.2958	1.5236	0.5153	0.5388	1.8993	1.3119	1.3317
ENPEP	2.547	2.748	1.0918	2.9239	2.4933	1.8636	2.0242	3.358	1.3639	2.4124	2.8446	3.5691	2.5873	0.4903	1.8284	3.2481	0.3171	2.0856	3.1233	1.2592
ENPP1	0.0112	0.0076	0.0323	0.0226	0.0092	0.0136	0.0087	0.0133	0.0076	0.0575	0.0127	0.0311	0.0138	0.0348	0.0186	0.0585	0.3536	0.0143	0.018	0.0165
ENPP2	3.1031	2.8981	2.7187	3.238	2.6176	2.7577	3.2126	3.0543	3.5494	2.9323	3.2098	2.3429	3.5872	2.1149	2.0095	3.2879	2.1442	2.4244	3.371	2.8601
ENPP3	0.0149	0.0446	0.0229	0.018	0.9329	0.0603	0.0581	0.038	0.0329	0.0506	0.0393	0.012	0.0403	0.1639	0.0278	0.0543	0.0549	0.0132	0.0167	0.0124
ENPP4	2.21	1.86	2.2423	2.4449	2.7993	2.5615	2.6199	3.4403	0.4724	1.7268	1.8904	0.0782	2.9493	1.0853	1.8425	2.4404	1.0538	3.5513	2.3749	2.6176
ENPP5	1.9198	1.808	2.6292	2.8132	4.1387	3.1649	3.0663	3.5691	0.3151	2.0384	3.122	0.0305	3.1716	3.7262	3.6762	2.3865	0.0957	3.5339	0.3522	2.8436
ENPP6	1.8187	5.8757	1.0539	1.2693	2.4933	1.8852	0.8919	1.2613	2.2386	1.2538	0.6384	0.6827	2.2333	0.6519	2.8631	0.7713	1.3067	0.3878	0.8171	2.0784
ENPP7	0.6501	0.7183	0.5435	0.6547	0.8806	0.6339	0.9852	1.0599	0.8705	0.4995	0.6769	1.693	0.6697	1.0664	0.4139	1.4807	0.6531	0.894	0.685	0.7443
ENSA	1.4624	0.9052	1.5077	0.1786	1.9024	0.2042	1.0247	1.2338	2.677	1.1577	1.0043	0.5162	0.5443	0.8351	1.1393	0.5561	0.1345	0.8657	0.0814	0.9386
ENTHD1	2.262	4.1109	1.3511	0.2634	0.2741	1.6485	3.0366	3.0261	3.4544	2.888	2.891	1.4164	1.887	2.2354	3.1974	3.2641	2.4093	0.8998	4.1387	1.9533
ENTPD1	2.7358	2.8849	2.2729	2.6544	2.5349	2.2664	2.6069	2.656	2.9622	2.8513	2.384	2.3249	2.6331	1.1416	2.2503	2.9145	1.1304	2.5535	3.2338	2.2292
ENTPD2	0.2237	0.1559	0.2061	0.172	0.3556	0.5501	0.5895	0.9843	0.6229	0.2429	0.209	0.1555	0.2206	0.8698	0.679	0.7828	1.2826	1.071	0.4426	0.1831
ENTPD3	6.6096	3.342	6.4555	4.0479	5.1926	2.926	4.2464	4.6059	6.3865	5.525	5.153	4.2425	3.9016	4.8389	6.1501	5.4182	0.9232	3.4456	5.7272	6.1241
ENTPD4	0.6146	0.4035	0.3909	0.9735	1.1191	0.9342	0.3226	0.4285	0.3814	0.557	0.493	0.3197	0.4973	0.2965	0.1834	0.6751	0.2218	0.3224	0.5577	0.3581
ENTPD5	0.6439	0.6025	0.3253	0.7433	0.7132	1.029	0.6271	1.0744	0.3885	0.7001	1.6158	1.4475	1.294	1.5319	0.6934	0.4017	0.3911	0.6798	0.7692	1.7753
ENTPD6	0.8824	0.1569	0.4821	0.3943	0.3883	1.1318	0.3192	0.4086	0.4892	0.3402	0.6807	0.3191	0.5964	0.5412	0.2022	0.9501	1.4323	0.6071	1.1446	0.5584
ENTPD7	2.5335	2.4805	2.3576	2.3594	2.4947	1.2842	2.4501	3.0032	1.9933	2.9344	2.6754	2.8991	2.2444	1.771	2.5557	2.4193	2.2049	1.6494	1.3547	2.3307
ENTPD8	0.8524	0.6062	0.5859	0.4634	0.7931	0.6793	1.1531	0.8718	1.0361	0.9252	0.4822	0.7336	0.4992	1.3537	0.4033	0.9047	1.4248	0.6863	0.9054	0.6987
ENY2	0.3481	0.431	0.1562	0.3793	0.2506	0.3021	0.879	0.5464	0.3306	0.9323	0.5021	1.096	0.3197	0.8509	0.4099	0.9667	0.3481	1.2523	0.4662	0.5634
EOMES	3.7618	2.9032	2.2339	2.4812	0.9667	3.3644	1.7954	1.6229	1.3754	2.3106	1.2584	2.0247	2.9386	1.5075	1.1516	1.4702	2.6918	2.7393	2.5629	2.3582
EP300	2.0302	2.0748	1.2727	2.6959	0.9999	2.2333	0.1149	1.0835	0.2343	1.5264	1.9221	2.2653	1.0932	0.5359	1.0472	0.3788	0.9898	0.8701	2.357	1.2497
EP400	0.3479	0.284	0.6241	0.6377	0.3733	0.5856	0.0546	0.1028	0.3796	0.128	0.2399	0.3702	0.1702	0.0696	0.2587	0.084	0.1171	0.7229	0.6277	0.2098
EP400NL	0.3295	0.9151	0.2865	0.3301	0.6608	0.8015	0.4264	0.386	0.5832	0.7756	0.2622	0.223	0.228	0.503	0.0775	0.976	0.3949	0.2067	0.4892	0.1838
EPAS1	0.5683	1.2633	0.9035	3.511	2.7901	2.3129	0.7429	0.488	0.1977	0.6486	1.9217	2.927	1.7661	1.6632	0.5619	0.3473	0.5493	1.3076	0.525	0.8102
EPB41	0.449	0.1255	0.302	0.2928	0.4598	0.6366	0.1113	0.1261	0.2494	0.6669	0.3573	0.0535	0.177	0.1825	0.4117	0.1126	0.2245	0.4041	0.4504	0.6864
EPB41L1	0.9289	0.048	1.0006	0.6769	0.5909	1.3069	0.1121	0.7395	0.118	0.3207	0.2083	0.0784	0.8855	1.8878	0.613	0.1479	0.6032	0.99	0.4953	0.7345
EPB41L2	1.9411	1.6485	0.4366	0.2971	0.9014	0.299	0.2968	0.0644	0.3431	1.0235	0.2464	0.1977	0.1569	0.0474	0.6231	0.2054	0.2295	0.0635	1.4906	0.4141
EPB41L3	2.4579	0.4829	2.7639	0.6476	0.0798	0.7898	1.4387	2.1182	1.2242	0.3337	0.545	0.1199	0.6589	0.0379	1.033	0.3215	1.3094	0.0849	1.2338	0.2738
EPB41L4A	0.8632	0.309	0.7281	1.7599	0.4666	1.9705	0.4569	0.8455	0.8624	1.0391	0.6557	0.3861	0.6569	0.69	1.2272	0.4026	0.2007	0.6052	0.5885	0.7134
EPB41L4B	1.9372	2.2855	1.7243	0.1764	0.3101	0.2503	0.2804	0.6243	0.8809	0.4718	0.2668	0.1892	0.8507	0.6881	1.8128	0.2795	0.4589	0.9474	1.1697	0.9127
